Symbol,Date,Open,High,Low,Close,Volume
MCB,03-Jul-2008,316.70,316.70,316.70,316.70,367100
MCB,04-Jul-2008,313.54,313.54,313.54,313.54,80200
MCB,07-Jul-2008,310.41,310.41,310.41,310.41,206900
MCB,08-Jul-2008,307.31,307.31,307.31,307.31,14600
MCB,09-Jul-2008,307.31,310.49,307.31,307.31,3608900
MCB,10-Jul-2008,304.24,305.00,304.24,304.24,723500
MCB,11-Jul-2008,301.20,301.20,301.20,301.20,52100
MCB,14-Jul-2008,286.14,286.14,286.14,286.14,197600
MCB,15-Jul-2008,271.84,271.84,271.84,271.84,314600
MCB,16-Jul-2008,258.25,262.00,258.25,258.25,1935100
MCB,17-Jul-2008,245.34,248.00,245.34,245.34,3655800
MCB,18-Jul-2008,245.34,256.90,233.08,233.08,2631900
MCB,21-Jul-2008,232.00,232.00,221.43,221.43,2877600
MCB,22-Jul-2008,218.99,232.50,218.00,232.50,4008900
MCB,23-Jul-2008,239.00,244.12,239.00,244.12,1501200
MCB,24-Jul-2008,253.00,256.32,251.00,256.32,1141700
MCB,25-Jul-2008,269.13,269.13,268.00,269.13,1516700
MCB,28-Jul-2008,261.00,273.00,255.68,263.00,5113300
MCB,29-Jul-2008,259.00,273.00,257.50,265.00,3143100
MCB,30-Jul-2008,275.00,278.25,268.00,278.25,706100
MCB,31-Jul-2008,285.00,291.00,270.00,271.00,3109300
MCB,01-Aug-2008,272.00,274.25,257.45,257.45,466700
MCB,04-Aug-2008,257.45,267.70,244.58,244.70,1417500
MCB,05-Aug-2008,244.00,256.93,232.47,256.71,3269600
MCB,06-Aug-2008,256.00,256.00,243.88,244.02,786000
MCB,07-Aug-2008,238.00,256.00,238.00,255.89,2385600
MCB,08-Aug-2008,254.01,268.68,250.50,268.68,1453500
MCB,11-Aug-2008,268.00,282.11,268.00,282.11,1699900
MCB,12-Aug-2008,283.00,290.99,268.01,268.20,3811200
MCB,13-Aug-2008,269.00,279.96,259.10,275.75,2308700
MCB,15-Aug-2008,275.95,289.53,270.60,289.25,3101600
MCB,18-Aug-2008,297.00,303.71,290.51,303.71,3334500
MCB,19-Aug-2008,318.89,318.89,310.00,316.50,4245300
MCB,20-Aug-2008,306.10,307.00,300.68,300.68,2460400
MCB,21-Aug-2008,291.00,302.80,285.65,285.65,2939900
MCB,22-Aug-2008,277.00,280.90,271.40,275.00,2123300
MCB,25-Aug-2008,275.00,286.50,262.55,264.50,2869600
MCB,26-Aug-2008,262.00,273.50,251.28,251.28,1258000
MCB,27-Aug-2008,242.00,243.49,238.72,238.75,1485500
MCB,28-Aug-2008,246.00,250.68,238.75,243.00,2899400
MCB,29-Aug-2008,244.00,245.90,240.70,243.60,1618900
MCB,01-Sep-2008,242.05,247.25,242.05,242.72,737500
MCB,02-Sep-2008,242.61,244.00,240.10,243.95,144900
MCB,03-Sep-2008,243.10,243.95,242.00,242.71,449500
MCB,04-Sep-2008,243.50,243.90,238.75,238.75,611400
MCB,05-Sep-2008,238.75,244.25,238.75,238.75,1043800
MCB,08-Sep-2008,243.99,244.50,238.75,238.75,633100
MCB,09-Sep-2008,238.75,238.76,238.75,238.75,74100
MCB,10-Sep-2008,238.75,239.50,238.75,238.75,263000
MCB,11-Sep-2008,238.75,238.99,238.75,238.75,56400
MCB,12-Sep-2008,235.75,235.75,235.75,235.75,54900
MCB,15-Sep-2008,235.75,236.00,235.75,235.75,296600
MCB,16-Sep-2008,235.75,235.80,235.75,235.75,993100
MCB,17-Sep-2008,235.75,235.75,235.75,235.75,56600
MCB,18-Sep-2008,235.75,235.75,235.75,235.75,9500
MCB,19-Sep-2008,235.75,235.75,235.75,235.75,9700
MCB,22-Sep-2008,235.75,235.75,235.75,235.75,1000
MCB,23-Sep-2008,235.75,241.00,235.75,235.75,2782600
MCB,24-Sep-2008,235.75,235.75,235.75,235.75,34800
MCB,25-Sep-2008,235.75,235.75,235.75,235.75,2000
MCB,29-Sep-2008,235.75,235.75,235.75,235.75,200
MCB,30-Sep-2008,235.75,235.75,235.75,235.75,17200
MCB,10-Oct-2008,235.75,235.75,235.75,235.75,100
MCB,13-Oct-2008,235.75,235.75,235.75,235.75,100
MCB,14-Oct-2008,235.75,235.75,235.75,235.75,100
MCB,22-Oct-2008,235.75,235.75,235.75,235.75,20300
MCB,29-Oct-2008,235.75,235.75,235.75,235.75,7300
MCB,16-Dec-2008,210.07,210.07,210.07,210.07,100
MCB,19-Dec-2008,180.12,180.12,180.12,180.12,100
MCB,23-Dec-2008,162.57,162.57,162.57,162.57,100
MCB,26-Dec-2008,146.73,146.73,146.73,146.73,100
MCB,30-Dec-2008,132.43,132.43,132.43,132.43,100
MCB,31-Dec-2008,125.81,125.81,125.81,125.81,1300
MCB,01-Jan-2009,119.52,119.52,119.52,119.52,1500
MCB,02-Jan-2009,113.55,118.00,113.55,113.55,903300
MCB,05-Jan-2009,108.13,115.01,108.13,108.50,6575500
MCB,06-Jan-2009,111.49,113.94,110.00,113.93,5019400
MCB,09-Jan-2009,114.95,119.61,111.00,119.61,3387600
MCB,12-Jan-2009,121.00,121.50,112.42,115.00,3750000
MCB,13-Jan-2009,115.00,121.55,112.53,117.00,2563500
MCB,14-Jan-2009,119.00,121.40,116.05,116.05,1477200
MCB,15-Jan-2009,116.50,119.00,111.31,111.31,1135000
MCB,16-Jan-2009,108.45,109.60,105.75,105.75,1018000
MCB,19-Jan-2009,100.47,100.47,100.47,100.47,92500
MCB,20-Jan-2009,95.45,102.50,95.45,95.45,2075000
MCB,21-Jan-2009,95.50,97.00,90.68,90.68,917500
MCB,22-Jan-2009,86.15,86.15,86.15,86.15,157300
MCB,23-Jan-2009,81.85,87.00,81.85,81.85,719800
MCB,26-Jan-2009,80.00,83.00,77.76,77.76,736600
MCB,27-Jan-2009,77.90,81.64,75.00,81.64,579400
MCB,28-Jan-2009,85.72,85.72,85.72,85.72,192800
MCB,29-Jan-2009,90.00,90.00,90.00,90.00,416000
MCB,30-Jan-2009,94.50,94.50,94.50,94.50,98400
MCB,02-Feb-2009,96.99,99.22,95.15,99.22,877100
MCB,03-Feb-2009,100.90,104.18,96.00,104.18,2136300
MCB,04-Feb-2009,105.00,109.38,105.00,109.38,1476900
MCB,06-Feb-2009,114.84,114.84,114.84,114.84,680800
MCB,09-Feb-2009,117.95,120.58,109.10,120.58,7517400
MCB,10-Feb-2009,120.99,122.75,116.00,117.00,3751200
MCB,11-Feb-2009,114.25,119.97,112.80,115.90,2929600
MCB,12-Feb-2009,114.55,118.25,113.50,115.40,1429200
MCB,13-Feb-2009,115.30,120.77,115.30,120.77,1775900
MCB,16-Feb-2009,124.00,126.80,123.76,126.80,3245400
MCB,17-Feb-2009,131.00,133.14,129.00,133.14,2229000
MCB,18-Feb-2009,134.80,139.79,133.00,137.75,4409500
MCB,19-Feb-2009,139.00,143.65,134.75,138.25,8233400
MCB,20-Feb-2009,139.80,141.00,132.43,132.43,4729500
MCB,23-Feb-2009,130.10,132.80,127.16,127.16,1858200
MCB,24-Feb-2009,124.80,131.50,124.65,126.00,2081700
MCB,25-Feb-2009,127.03,129.50,119.98,119.98,2247300
MCB,26-Feb-2009,115.25,124.99,115.00,123.95,1766500
MCB,27-Feb-2009,124.55,128.30,123.60,127.27,745400
MCB,02-Mar-2009,128.00,130.20,125.50,127.00,2021600
MCB,03-Mar-2009,124.50,125.40,120.58,123.00,1228000
MCB,04-Mar-2009,124.50,129.31,124.11,129.31,1558300
MCB,05-Mar-2009,132.00,134.70,127.75,132.30,4075200
MCB,06-Mar-2009,132.69,135.70,131.06,133.50,1308200
MCB,09-Mar-2009,134.49,134.49,132.00,132.21,529800
MCB,11-Mar-2009,133.94,138.00,128.02,129.55,1958700
MCB,12-Mar-2009,130.00,137.19,129.10,137.19,2523500
MCB,13-Mar-2009,126.00,126.25,122.87,125.10,1526700
MCB,16-Mar-2009,131.23,131.23,131.23,131.23,96900
MCB,17-Mar-2009,135.00,137.75,131.23,134.40,3616000
MCB,18-Mar-2009,135.00,141.22,133.26,141.22,5400500
MCB,19-Mar-2009,144.88,148.00,143.61,145.00,3851000
MCB,20-Mar-2009,146.49,148.00,138.20,138.50,3325800
MCB,24-Mar-2009,141.90,146.67,141.11,146.67,3497400
MCB,25-Mar-2009,149.00,151.00,144.05,144.70,5955800
MCB,26-Mar-2009,146.00,149.50,142.78,143.30,4274400
MCB,27-Mar-2009,144.00,146.50,143.35,145.80,2914200
MCB,30-Mar-2009,149.00,151.30,146.75,147.98,3564200
MCB,31-Mar-2009,148.00,150.45,140.26,140.26,5831700
MCB,01-Apr-2009,142.00,145.20,140.50,141.05,2308300
MCB,02-Apr-2009,142.90,148.71,142.01,148.71,6581100
MCB,03-Apr-2009,152.00,156.00,150.30,153.55,6093400
MCB,06-Apr-2009,152.55,160.10,150.55,160.00,7306300
MCB,07-Apr-2009,161.00,166.13,160.00,166.13,6232900
MCB,08-Apr-2009,160.20,169.30,156.93,156.93,6689000
